Кухня                ; Различные кухни ; Армянская кухня ; Средиземноморская кухня ; Русская кухня ; Французская кухня ; Итальянская кухня ; Грузинская кухня ; Кафе ; Европейская кухня ; Азиатская кухня 
 Различные кухни      ;1; 0.5             ; 0.75                    ; 0.5           ; 0.5               ; 0.5               ; 0.5              ; 0.5  ; 0.75              ; 0.25            
 Армянская кухня      ; 0.5             ;1; 0.5                     ; 0.25          ; 0.25              ; 0.25              ; 0.75             ; 0.25 ; 0.5               ;0
 Средиземноморская кухня ; 0.75          ; 0.5             ;1; 0.25          ; 0.75              ;1; 0.5              ; 0.25 ; 0.75              ; 0.25            
 Русская кухня        ; 0.5             ; 0.25            ; 0.25                    ;1; 0.25              ; 0.25              ; 0.5              ; 0.5  ; 0.5               ; 0.25            
 Французская кухня    ; 0.5             ; 0.25            ; 0.75                    ; 0.25          ;1; 0.75              ; 0.25             ; 0.5  ; 0.75              ;0
 Итальянская кухня    ; 0.5             ; 0.25            ;1; 0.25          ; 0.75              ;1; 0.25             ; 0.25 ; 0.75              ;0
 Грузинская кухня     ; 0.5             ; 0.75            ; 0.5                     ; 0.5           ; 0.25              ; 0.25              ;1; 0.25 ; 0.5               ;0
 Кафе                 ; 0.5             ; 0.25            ; 0.25                    ; 0.5           ; 0.5               ; 0.25              ; 0.25             ;1; 0.5               ; 0.25            
 Европейская кухня    ; 0.75            ; 0.5             ; 0.75                    ; 0.5           ; 0.75              ; 0.75              ; 0.5              ; 0.5  ;1; 0.25            
 Азиатская кухня      ; 0.25            ;0; 0.25                    ; 0.25          ;0;0;0; 0.25 ; 0.25              ;1